company,symbol,result_date,eps_year_ago,eps_current,price_day_minus_2,ue,ue_sign,entry_date,entry_open,exit_date,exit_close,return_20d,nifty_return,excess_vs_nifty,data_quality
Infosys,INFY,2025-07-23,15.340000,16.660000,1584.300000,0.0833175535,Positive UE,2025-07-25,1543.400000,2025-08-22,1487.500000,-3.6218737851,-0.5470000000,-3.0748737851,Exact price pair verified
Tata Consumer,TATACONSUM,2025-07-23,2.930000,3.380000,1090.300000,0.0412730441,Positive UE,2025-07-25,1078.000000,2025-08-22,1084.100000,0.5658627087,-0.5470000000,1.1128627087,Exact price pair verified
Dr Reddy,DRREDDY,2025-07-23,16.690000,16.990000,1259.300000,0.0238227587,Positive UE,2025-07-25,1266.000000,2025-08-22,1277.600000,0.9162717220,-0.5470000000,1.4632717220,Exact price pair verified
Persistent,PERSISTENT,2025-07-23,19.890000,27.170000,5779.000000,0.1259733518,Positive UE,2025-07-25,5174.000000,2025-08-22,5369.000000,3.7688442211,-0.5470000000,4.3158442211,Exact price pair verified
Coforge,COFORGE,2025-07-23,3.990000,9.490000,1874.300000,0.2934428853,Positive UE,2025-07-25,1675.000000,2025-08-22,1747.700000,4.3402985075,-0.5470000000,4.8872985075,Exact price pair verified
Cipla,CIPLA,2025-07-25,14.580000,16.060000,1473.500000,0.1004411266,Positive UE,2025-07-29,1563.400000,2025-08-26,1579.800000,1.0489957784,-2.6119000000,3.6608957784,Exact price pair verified
Schaeffler,SCHAEFFLER,2025-07-25,15.700000,18.370000,4215.800000,0.0633331752,Positive UE,2025-07-29,4055.000000,2025-08-26,3942.000000,-2.7866831073,-2.6119000000,-0.1747831073,Exact price pair verified
GMDC,GMDC,2025-07-25,5.790000,5.150000,457.900000,-0.1397685084,Negative UE,2025-07-29,408.800000,2025-08-26,409.650000,0.2079256360,-2.6119000000,2.8198256360,Exact price pair verified
Grindwell Norton,GRINDWELL,2025-07-25,8.410000,8.530000,1758.600000,0.0068236097,Positive UE,2025-07-29,1610.000000,2025-08-26,1560.800000,-3.0559006211,-2.6119000000,-0.4440006211,Exact price pair verified
Chennai Petroleum,CHENNPETRO,2025-07-25,23.980000,-2.690000,777.750000,-3.4291224687,Negative UE,2025-07-29,718.950000,2025-08-26,649.900000,-9.6042840253,-2.6119000000,-6.9923840253,Exact price pair verified
L&T,LT,2025-07-29,20.260000,26.300000,3442.900000,0.1754335008,Positive UE,2025-07-31,3625.000000,2025-08-29,3601.000000,-0.6620689655,-1.0052000000,0.3431310345,Exact price pair verified
NTPC,NTPC,2025-07-29,5.650000,6.200000,333.200000,0.1650660264,Positive UE,2025-07-31,336.050000,2025-08-29,327.550000,-2.5293855081,-1.0052000000,-1.5241855081,Exact price pair verified
Asian Paints,ASIANPAINT,2025-07-29,12.200000,11.470000,2336.200000,-0.0312473247,Negative UE,2025-07-31,2401.400000,2025-08-29,2518.600000,4.8804863829,-1.0052000000,5.8856863829,Exact price pair verified
Varun Beverages,VBL,2025-07-29,3.860000,3.890000,477.150000,0.0062873310,Positive UE,2025-07-31,512.050000,2025-08-29,487.150000,-4.8628063666,-1.0052000000,-3.8576063666,Exact price pair verified
Apar Industries,APARINDS,2025-07-29,50.420000,65.450000,8981.500000,0.1673439849,Positive UE,2025-07-31,9405.000000,2025-08-29,7732.000000,-17.7884104200,-1.0052000000,-16.7832104200,Exact price pair verified
Power Grid,POWERGRID,2025-07-30,4.000000,3.900000,291.900000,-0.0342583076,Negative UE,2025-08-01,291.650000,2025-09-01,279.850000,-4.0459454826,-1.2983000000,-2.7476454826,Exact price pair verified
Tata Steel,TATASTEEL,2025-07-30,0.770000,1.660000,159.680000,0.5573647295,Positive UE,2025-08-01,157.930000,2025-09-01,156.170000,-1.1144177800,-1.2983000000,0.1838822200,Exact price pair verified
IndiGo,INDIGO,2025-07-30,70.700000,56.310000,5762.000000,-0.2497396737,Negative UE,2025-08-01,5870.000000,2025-09-01,5670.000000,-3.4071550256,-1.2983000000,-2.1088550256,Exact price pair verified
Indus Towers,INDUSTOWER,2025-07-30,7.150000,6.580000,384.600000,-0.1482059282,Negative UE,2025-08-01,363.050000,2025-09-01,339.400000,-6.5142542350,-1.2983000000,-5.2159542350,Exact price pair verified
HUL,HINDUNILVR,2025-07-31,11.110000,11.730000,2413.530000,0.0256885143,Positive UE,2025-08-04,2505.410000,2025-09-02,2633.280000,5.1037554732,-0.4398000000,5.5435554732,Exact price pair verified
Sun Pharma,SUNPHARMA,2025-07-31,11.820000,9.500000,1710.500000,-0.1356328559,Negative UE,2025-08-04,1629.800000,2025-09-02,1565.200000,-3.9636765247,-0.4398000000,-3.5238765247,Exact price pair verified
Maruti,MARUTI,2025-07-31,119.580000,120.620000,12469.000000,0.0083406849,Positive UE,2025-08-04,12326.000000,2025-09-02,14842.000000,20.4121369463,-0.4398000000,20.8519369463,Exact price pair verified
Coal India,COALINDIA,2025-07-31,17.780000,14.270000,383.650000,-0.9148963899,Negative UE,2025-08-04,372.450000,2025-09-02,380.100000,2.0539669754,-0.4398000000,2.4937669754,Exact price pair verified
Eicher Motors,EICHERMOT,2025-07-31,40.200000,43.950000,5470.500000,0.0685494927,Positive UE,2025-08-04,5527.500000,2025-09-02,6349.000000,14.8620533695,-0.4398000000,15.3018533695,Exact price pair verified
