h003_forward_evidence_rank,symbol,h003_forward_evidence_score,candidate_source_count,semantic_candidate_count,accepted_claim_count,accepted_source_count,open_or_unresolved_claim_count,open_source_count,open_claim_type_count,accepted_source_rate,open_source_rate,open_claim_rate,open_claim_type_diversity,pillar_diversity
1,LUPIN,0.908,7,43,25,7,25,7,19,1.0,1.0,0.5813953488372093,1.0,1.0
2,LODHA,0.9039999999999999,8,69,41,8,40,8,30,1.0,1.0,0.5797101449275363,1.0,1.0
3,RADICO,0.899,8,28,15,8,14,8,9,1.0,1.0,0.5,1.0,1.0
4,ADANIENSOL,0.892,8,65,36,8,28,8,19,1.0,1.0,0.4307692307692308,1.0,1.0
5,NATIONALUM,0.8879999999999999,9,102,65,9,43,9,21,1.0,1.0,0.4215686274509804,1.0,1.0
6,AUROPHARMA,0.882,8,56,25,8,22,8,15,1.0,1.0,0.39285714285714285,1.0,1.0
7,NTPC,0.874,7,43,25,7,23,6,12,1.0,0.8571428571428571,0.5348837209302325,1.0,1.0
8,LAURUSLABS,0.8640000000000001,8,68,27,8,25,8,21,1.0,1.0,0.36764705882352944,1.0,1.0
9,ULTRACEMCO,0.8629999999999999,9,52,24,9,20,8,13,1.0,0.8888888888888888,0.38461538461538464,1.0,1.0
10,TATAPOWER,0.86,8,31,20,7,18,7,15,0.875,0.875,0.5806451612903226,1.0,1.0
11,HINDALCO,0.849,9,46,21,8,18,8,16,0.8888888888888888,0.8888888888888888,0.391304347826087,1.0,1.0
12,BAJAJ-AUTO,0.844,8,46,15,8,15,8,11,1.0,1.0,0.32608695652173914,1.0,1.0
13,TATASTEEL,0.836,7,80,27,7,25,7,21,1.0,1.0,0.3125,1.0,1.0
14,JINDALSTEL,0.8299999999999998,8,51,20,8,15,8,9,1.0,1.0,0.29411764705882354,1.0,1.0
15,TMPV,0.828,8,42,17,7,16,7,12,0.875,0.875,0.38095238095238093,1.0,1.0
16,POLYCAB,0.826,8,50,20,7,19,7,11,0.875,0.875,0.38,1.0,1.0
17,JSWENERGY,0.8219999999999998,7,31,15,6,13,6,9,0.8571428571428571,0.8571428571428571,0.41935483870967744,1.0,1.0
18,BHARATFORG,0.7959999999999999,7,16,8,6,7,6,7,0.8571428571428571,0.8571428571428571,0.4375,0.875,1.0
19,MAXHEALTH,0.794,8,43,25,7,21,7,11,0.875,0.875,0.4883720930232558,1.0,0.6666666666666666
20,APLAPOLLO,0.784,8,78,30,7,26,6,18,0.875,0.75,0.3333333333333333,1.0,1.0
21,CIPLA,0.784,7,25,11,7,8,7,8,1.0,1.0,0.32,1.0,0.6666666666666666
22,MARICO,0.7729999999999999,9,64,21,8,16,7,12,0.8888888888888888,0.7777777777777778,0.25,1.0,1.0
23,POWERGRID,0.772,7,26,14,7,9,5,6,1.0,0.7142857142857143,0.34615384615384615,0.75,1.0
24,HAL,0.771,2,19,8,2,7,2,6,1.0,1.0,0.3684210526315789,0.75,0.6666666666666666
25,DIXON,0.767,8,42,20,7,14,5,9,0.875,0.625,0.3333333333333333,1.0,1.0
26,FORTIS,0.76,9,52,20,7,16,7,12,0.7777777777777778,0.7777777777777778,0.3076923076923077,1.0,1.0
27,ADANIGREEN,0.759,8,30,14,5,12,5,8,0.625,0.625,0.4,1.0,1.0
28,ADANIPOWER,0.747,8,28,12,6,12,6,10,0.75,0.75,0.42857142857142855,1.0,0.6666666666666666
29,RELIANCE,0.7420000000000001,7,42,16,6,15,6,9,0.8571428571428571,0.8571428571428571,0.35714285714285715,1.0,0.6666666666666666
30,DRREDDY,0.739,8,30,16,6,15,5,10,0.75,0.625,0.5,1.0,0.6666666666666666
31,GRASIM,0.733,8,29,11,5,10,5,10,0.625,0.625,0.3448275862068966,1.0,1.0
32,INFY,0.728,8,42,19,7,14,6,8,0.875,0.75,0.3333333333333333,1.0,0.6666666666666666
33,INDIGO,0.6900000000000001,7,28,10,5,9,5,5,0.7142857142857143,0.7142857142857143,0.32142857142857145,0.625,1.0
34,IDEA,0.658,8,23,8,5,7,5,5,0.625,0.625,0.30434782608695654,0.625,1.0
35,TMCV,0.654,4,14,3,3,3,3,3,0.75,0.75,0.21428571428571427,0.375,1.0
36,SUZLON,0.648,8,48,16,5,9,5,7,0.625,0.625,0.1875,0.875,1.0
37,INDHOTEL,0.643,9,27,11,5,10,4,10,0.5555555555555556,0.4444444444444444,0.37037037037037035,1.0,0.6666666666666666
38,ASHOKLEY,0.6279999999999999,8,24,8,5,6,4,5,0.625,0.5,0.25,0.625,1.0
39,DLF,0.6140000000000001,9,32,9,3,9,3,9,0.3333333333333333,0.3333333333333333,0.28125,1.0,1.0
40,HEROMOTOCO,0.6020000000000001,7,25,5,5,5,5,5,0.7142857142857143,0.7142857142857143,0.2,0.625,0.6666666666666666
41,PIDILITIND,0.5980000000000001,5,8,3,3,3,3,3,0.6,0.6,0.375,0.375,0.6666666666666666
42,PERSISTENT,0.597,4,9,3,3,3,3,3,0.75,0.75,0.3333333333333333,0.375,0.3333333333333333
43,DIVISLAB,0.5880000000000001,7,13,5,3,5,3,5,0.42857142857142855,0.42857142857142855,0.38461538461538464,0.625,0.6666666666666666
44,M&M,0.5850000000000001,9,48,10,6,9,5,7,0.6666666666666666,0.5555555555555556,0.1875,0.875,0.6666666666666666
45,BEL,0.585,8,25,8,5,4,4,4,0.625,0.5,0.16,0.5,1.0
46,HCLTECH,0.5650000000000001,8,19,7,4,6,4,5,0.5,0.5,0.3157894736842105,0.625,0.6666666666666666
47,MOTHERSON,0.562,7,22,5,5,4,4,4,0.7142857142857143,0.5714285714285714,0.18181818181818182,0.5,0.6666666666666666
48,SOLARINDS,0.54,8,35,9,6,5,3,5,0.75,0.375,0.14285714285714285,0.625,0.6666666666666666
49,ASIANPAINT,0.537,8,12,4,4,4,4,2,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666
50,BHARTIARTL,0.515,8,39,4,3,4,3,4,0.375,0.375,0.10256410256410256,0.5,1.0
